time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_kPa	agg_plate_pressure_kPa	soil_pore_water_pressure_kPa	agg_pore_water_pressure_kPa
5.500000	1.584303	1.556889	1.527535	1.464173	1.453569	1.452018	1.977153	1.561803	1.571113	1.548872	1.430035	1.328267	0.958148	-1.320160	0.401720	0.925330
5.562500	1.584562	1.557277	1.527923	1.464173	1.453440	1.451759	1.977411	1.561803	1.571243	1.548872	1.430164	1.328138	0.958478	-1.319334	0.402049	0.925991
5.625000	1.584303	1.557018	1.528053	1.464302	1.453440	1.451500	1.977153	1.561803	1.571372	1.549001	1.430423	1.327491	0.958148	-1.320160	0.401720	0.925330
5.687500	1.584174	1.557018	1.527665	1.464173	1.453569	1.451759	1.976765	1.561803	1.571113	1.548872	1.430164	1.326586	0.957489	-1.320987	0.401720	0.925991
5.750000	1.584432	1.557018	1.527794	1.464044	1.453311	1.451888	1.976506	1.561803	1.571243	1.548872	1.429906	1.325552	0.957489	-1.321814	0.401720	0.925991
5.812500	1.584045	1.557018	1.527665	1.464432	1.453569	1.452276	1.975989	1.561803	1.571372	1.549001	1.429906	1.324258	0.956829	-1.321814	0.401720	0.925660
5.875000	1.583915	1.557148	1.527923	1.464690	1.453569	1.452794	1.975601	1.561803	1.571113	1.549130	1.429388	1.323353	0.956829	-1.321814	0.402049	0.925660
5.937500	1.583786	1.556889	1.527665	1.464690	1.453440	1.453699	1.974696	1.561803	1.570855	1.548872	1.428483	1.321931	0.956829	-1.323467	0.401391	0.925991
6.000000	1.584045	1.557018	1.527406	1.464820	1.453440	1.453957	1.974179	1.561803	1.570725	1.548743	1.427578	1.321026	0.956829	-1.321814	0.401720	0.925991
6.062500	1.583915	1.557148	1.527277	1.465078	1.453440	1.454216	1.974049	1.561803	1.570855	1.548872	1.427449	1.320767	0.956829	-1.323467	0.401720	0.925660
6.125000	1.583915	1.557148	1.527665	1.465207	1.453569	1.454345	1.974049	1.561803	1.570855	1.548872	1.427707	1.321284	0.956500	-1.322641	0.401720	0.925660
6.187500	1.584045	1.557148	1.527277	1.465078	1.453569	1.453957	1.974696	1.561803	1.570725	1.548872	1.427707	1.322836	0.956500	-1.322641	0.401720	0.925660
6.250000	1.583915	1.556889	1.527406	1.465207	1.453569	1.453699	1.975342	1.561674	1.570596	1.548872	1.428095	1.323871	0.956829	-1.321814	0.401720	0.925660
6.312500	1.584303	1.556889	1.527406	1.464820	1.453569	1.453182	1.975989	1.561803	1.570596	1.548872	1.429000	1.325422	0.957489	-1.321814	0.402049	0.925660
6.375000	1.584174	1.557148	1.527277	1.464690	1.453569	1.452535	1.976248	1.561803	1.570596	1.548872	1.429518	1.326457	0.957818	-1.320987	0.401720	0.925991
6.437500	1.584303	1.557148	1.527794	1.464432	1.453440	1.451888	1.976636	1.561803	1.571372	1.549001	1.429906	1.327362	0.957818	-1.320160	0.401720	0.925660
6.500000	1.584303	1.557018	1.527794	1.464173	1.453440	1.451759	1.977153	1.561932	1.571372	1.549130	1.430164	1.327879	0.958148	-1.320987	0.401720	0.925660
6.562500	1.584303	1.557148	1.527923	1.464302	1.453569	1.451888	1.977153	1.561803	1.571243	1.549130	1.430164	1.328138	0.958807	-1.319334	0.401720	0.925991
6.625000	1.584562	1.557018	1.527794	1.464302	1.453699	1.451630	1.977282	1.561803	1.571243	1.549001	1.430164	1.327750	0.958478	-1.320987	0.401720	0.925660
6.687500	1.584303	1.557148	1.527923	1.464044	1.453440	1.451630	1.976894	1.561803	1.571113	1.548872	1.430164	1.326715	0.958148	-1.320987	0.402049	0.925660
6.750000	1.584562	1.557018	1.527923	1.464173	1.453569	1.452018	1.976765	1.561932	1.571243	1.548872	1.429906	1.325422	0.957489	-1.322641	0.401720	0.925330
6.812500	1.584045	1.557148	1.527923	1.464302	1.453699	1.452018	1.975860	1.561803	1.571372	1.548872	1.429906	1.324388	0.956829	-1.322641	0.401720	0.925660
6.875000	1.584045	1.557018	1.527665	1.464432	1.453440	1.452923	1.975472	1.561674	1.570855	1.548872	1.429259	1.323353	0.956829	-1.322641	0.401720	0.925660
6.937500	1.584174	1.557018	1.527535	1.464302	1.453440	1.453569	1.974955	1.561803	1.570984	1.548743	1.428354	1.321931	0.956829	-1.321814	0.402049	0.925660
7.000000	1.583915	1.557148	1.527406	1.464561	1.453311	1.453957	1.974437	1.561932	1.570596	1.548743	1.427707	1.320896	0.956829	-1.322641	0.401720	0.925660
7.062500	1.583915	1.557277	1.527148	1.464949	1.453699	1.454345	1.974049	1.561932	1.570725	1.548743	1.427319	1.320767	0.956500	-1.322641	0.401720	0.925660
7.125000	1.584174	1.557148	1.527406	1.465078	1.453569	1.454216	1.973920	1.561932	1.570725	1.548872	1.427578	1.321026	0.957159	-1.321814	0.402049	0.925660
7.187500	1.583786	1.557018	1.527406	1.465078	1.453699	1.454087	1.974567	1.561932	1.570725	1.548743	1.427837	1.322836	0.956829	-1.321814	0.402049	0.925991
7.250000	1.584303	1.557018	1.527277	1.465078	1.453569	1.453699	1.975601	1.561932	1.570596	1.548872	1.427966	1.323871	0.957159	-1.322641	0.401391	0.925660
7.312500	1.584303	1.557277	1.527535	1.464820	1.453440	1.453182	1.976118	1.561932	1.570725	1.548743	1.429000	1.325293	0.956829	-1.320987	0.401720	0.925991
7.375000	1.584303	1.557018	1.527406	1.464690	1.453569	1.452664	1.976636	1.561674	1.570855	1.548872	1.429647	1.326586	0.957818	-1.321814	0.401391	0.925660
7.437500	1.584562	1.557148	1.527665	1.464432	1.453440	1.452147	1.977024	1.561932	1.571113	1.548872	1.429776	1.327621	0.958148	-1.320987	0.402049	0.925991
7.500000	1.584303	1.557018	1.527923	1.464561	1.453569	1.451888	1.977153	1.561803	1.571372	1.548872	1.430035	1.328138	0.958478	-1.319334	0.401391	0.925991
7.562500	1.584432	1.557148	1.527794	1.464302	1.453440	1.451630	1.977282	1.561803	1.571113	1.549001	1.430035	1.328009	0.958478	-1.320160	0.401720	0.925330
7.625000	1.584303	1.557018	1.527923	1.464173	1.453699	1.451759	1.977411	1.561932	1.571243	1.549001	1.430293	1.327750	0.958148	-1.320160	0.401720	0.925660
7.687500	1.584562	1.557148	1.527923	1.464173	1.453569	1.451759	1.977024	1.561803	1.571113	1.549001	1.430035	1.326586	0.957818	-1.320987	0.401720	0.925330
7.750000	1.584045	1.557018	1.527794	1.464302	1.453440	1.451759	1.976636	1.561803	1.571243	1.549001	1.429906	1.325552	0.957489	-1.321814	0.401391	0.925660
7.812500	1.584174	1.557148	1.527923	1.464432	1.453699	1.452276	1.975989	1.561803	1.571113	1.549001	1.430035	1.324517	0.956829	-1.321814	0.401720	0.925660
7.875000	1.584432	1.557148	1.527665	1.464302	1.453699	1.452794	1.975601	1.561803	1.571113	1.548872	1.429000	1.323224	0.956829	-1.322641	0.401391	0.925660
7.937500	1.584303	1.556889	1.527535	1.464432	1.453569	1.453699	1.974955	1.561932	1.571113	1.548872	1.428354	1.321931	0.956829	-1.320987	0.401720	0.925660
8.000000	1.584045	1.557018	1.527277	1.464690	1.453440	1.453957	1.974179	1.561803	1.570855	1.548872	1.427837	1.320896	0.956829	-1.322641	0.401720	0.925991
8.062500	1.584045	1.556889	1.527277	1.464820	1.453699	1.454345	1.974049	1.561803	1.570338	1.548872	1.427707	1.320896	0.956829	-1.322641	0.402049	0.925991
8.125000	1.584045	1.557148	1.527277	1.465078	1.453569	1.454216	1.974179	1.561932	1.570855	1.548872	1.427707	1.321155	0.956829	-1.322641	0.401391	0.925991
8.187500	1.583915	1.556889	1.527148	1.464949	1.453699	1.454216	1.974567	1.561803	1.570596	1.548743	1.427578	1.323095	0.957159	-1.320987	0.402049	0.925330
8.250000	1.584174	1.556889	1.527277	1.464949	1.453440	1.453828	1.975342	1.561803	1.570725	1.548743	1.427966	1.323741	0.957159	-1.321814	0.401720	0.925660
8.312500	1.584174	1.557148	1.527535	1.464820	1.453440	1.453182	1.976118	1.561803	1.570725	1.549001	1.428871	1.325293	0.957489	-1.322641	0.401391	0.925991
8.375000	1.584432	1.556889	1.527406	1.464561	1.453440	1.452535	1.976636	1.561932	1.570855	1.548743	1.429518	1.326457	0.957818	-1.321814	0.401720	0.925660
8.437500	1.584303	1.557148	1.527794	1.464432	1.453440	1.452018	1.976894	1.561932	1.571243	1.549001	1.429906	1.327362	0.957818	-1.319334	0.401720	0.925330
8.500000	1.584045	1.556889	1.527794	1.464302	1.453569	1.451759	1.977153	1.561674	1.571113	1.549001	1.430164	1.328009	0.958148	-1.320160	0.401720	0.925660
8.562500	1.584432	1.557018	1.527665	1.464561	1.453569	1.451759	1.977282	1.561674	1.571243	1.549130	1.430423	1.328009	0.958148	-1.319334	0.401720	0.925991
8.625000	1.584432	1.557148	1.527794	1.464302	1.453569	1.451630	1.977282	1.561803	1.571372	1.548872	1.430423	1.327491	0.958148	-1.320987	0.401391	0.925991
8.687500	1.584045	1.557148	1.527665	1.464173	1.453440	1.451759	1.976894	1.561803	1.571113	1.549001	1.430164	1.326715	0.958148	-1.320987	0.401391	0.925660
8.750000	1.584303	1.556889	1.527665	1.464173	1.453699	1.451888	1.976636	1.561803	1.571113	1.549001	1.430035	1.325681	0.957159	-1.320987	0.401720	0.925660
8.812500	1.584303	1.557148	1.527665	1.464302	1.453699	1.452276	1.976118	1.561932	1.571113	1.548872	1.429776	1.324388	0.956829	-1.321814	0.401720	0.925660
8.875000	1.584303	1.557148	1.527794	1.464432	1.453440	1.452794	1.975601	1.561932	1.571113	1.549001	1.429130	1.323224	0.956500	-1.321814	0.401391	0.925991
8.937500	1.583786	1.556889	1.527665	1.464561	1.453699	1.453440	1.974825	1.561803	1.570855	1.549001	1.428483	1.322060	0.957159	-1.323467	0.401391	0.925660
9.000000	1.584174	1.556889	1.527277	1.464690	1.453699	1.453699	1.974179	1.561803	1.570596	1.548613	1.427707	1.321026	0.957159	-1.322641	0.401720	0.925330
9.062500	1.583786	1.557148	1.527406	1.464949	1.453440	1.454216	1.974049	1.561932	1.570725	1.548872	1.427449	1.320896	0.956829	-1.322641	0.402049	0.925330
9.125000	1.584045	1.557148	1.527148	1.464949	1.453699	1.454345	1.974049	1.561803	1.570467	1.548743	1.427707	1.321284	0.956829	-1.322641	0.402049	0.925660
9.187500	1.584174	1.557277	1.527018	1.464820	1.453440	1.453957	1.974696	1.561932	1.570725	1.548743	1.427449	1.322707	0.957159	-1.322641	0.401720	0.925660
9.250000	1.584174	1.557018	1.527406	1.464949	1.453569	1.453699	1.975342	1.561803	1.570855	1.548872	1.427966	1.323612	0.957159	-1.322641	0.401391	0.925660
9.312500	1.584303	1.557018	1.527277	1.464561	1.453699	1.453182	1.976118	1.561803	1.570725	1.548872	1.428871	1.325422	0.957489	-1.322641	0.401720	0.925991
9.375000	1.584174	1.557148	1.527406	1.464690	1.453699	1.452406	1.976506	1.561803	1.571113	1.549130	1.429518	1.326457	0.957818	-1.321814	0.401720	0.925660
